1 threads: 9.881364822387695 s, result=1.0000000078541809
2 threads: 10.369032621383667 s, result=1.000000007853921
3 threads: 10.29876708984375 s, result=1.000000007854006
4 threads: 10.219255924224854 s, result=1.0000000078540932
5 threads: 10.380417108535767 s, result=1.0000000078539952
6 threads: 11.427120447158813 s, result=1.0000000078540703
7 threads: 11.25730586051941 s, result=1.000000007854025
8 threads: 11.961522102355957 s, result=1.0000000078540214
9 threads: 11.050302028656006 s, result=1.0000000078540137
10 threads: 10.983551263809204 s, result=1.0000000078540154
11 threads: 11.046560764312744 s, result=1.000000007853971
12 threads: 10.932059049606323 s, result=1.0000000078540354
13 threads: 12.198329210281372 s, result=1.0000000078539726
14 threads: 11.68555736541748 s, result=1.0000000078539821
15 threads: 12.100961446762085 s, result=1.0000000078540017
16 threads: 11.317478895187378 s, result=1.0000000078539901

1 processes: 13.1222505569458 s, result=1.0000000078541809
2 processes: 7.997564077377319 s, result=1.000000007853921
3 processes: 5.8221375942230225 s, result=1.000000007854006
4 processes: 4.281350135803223 s, result=1.0000000078540932
5 processes: 5.014348745346069 s, result=1.0000000078539952
6 processes: 4.742063283920288 s, result=1.0000000078540703
7 processes: 4.634958028793335 s, result=1.000000007854025
8 processes: 4.888453960418701 s, result=1.0000000078540214
9 processes: 4.820270776748657 s, result=1.0000000078540137
10 processes: 4.892607688903809 s, result=1.0000000078540154
11 processes: 5.173730850219727 s, result=1.000000007853971
12 processes: 5.27568507194519 s, result=1.0000000078540354
13 processes: 5.289060354232788 s, result=1.0000000078539726
14 processes: 5.21509575843811 s, result=1.0000000078539821
15 processes: 5.252030611038208 s, result=1.0000000078540017
16 processes: 5.31089186668396 s, result=1.0000000078539901
